기관명,분류,검진실 전화번호,대표번호,도시,지역구,상세주소,관련 검진수,일반검진,위암검진,간암검진,대장암검진,유방암검진,우편번호,권역,위도(X),경도(Y),정렬용_지역키
기쁜소식산부인과의원,의원,02-2643-3388,02-2643-3388,서울특별시,양천구,서울특별시 양천구 신월로 304 4층 (신정동),0,FALSE,FALSE,FALSE,FALSE,FALSE,08082,수도권,37.521047045054004,126.85467300387842,11_470
이진우내과의원,내과의원,02-2692-6375,02-2692-6375,서울특별시,양천구,"서울특별시 양천구 신정로 312 (신정동, 뉴프라자)",5,TRUE,TRUE,TRUE,TRUE,TRUE,08106,수도권,126.855504942568,37.5132800705293,11_470
우리산부인과의원,의원,02-2605-7813,02-2605-7813,서울특별시,양천구,서울특별시 양천구 중앙로 275 (신정동),0,FALSE,FALSE,FALSE,FALSE,FALSE,08058,수도권,126.852226262711,37.520781006605,11_470
아이리스산부인과의원,의원,02-2647-0020,02-2647-0020,서울특별시,양천구,"서울특별시 양천구 목동동로 73 5층 503~504호 (신정동, 양지빌딩ll)",0,FALSE,FALSE,FALSE,FALSE,FALSE,08093,수도권,126.862808387683,37.5157733856226,11_470
밝은미래산부인과의원,의원,02-2687-3555,02-2687-3555,서울특별시,양천구,"서울특별시 양천구 남부순환로 654 4,5,6,9층 (신정동, 에이치앤씨티타워)",0,FALSE,FALSE,FALSE,FALSE,FALSE,08054,수도권,126.841857798323,37.5107183340608,11_470
우성의원,의원,02-2603-8275,02-2603-8275,서울특별시,양천구,"서울특별시 양천구 월정로 50 (신월동, 청솔아파트)",4,TRUE,TRUE,TRUE,TRUE,FALSE,07936,수도권,126.842137823501,37.524261587996,11_470
마디랑내과의원,내과의원,02-2648-1633,02-2648-1633,서울특별시,양천구,서울특별시 양천구 신월로 304 (신정동),1,TRUE,FALSE,FALSE,FALSE,FALSE,08082,수도권,126.854754768596,37.5210000232129,11_470
조삼권내과의원,내과의원,02-2652-1133,02-2652-1133,서울특별시,양천구,"서울특별시 양천구 지양로 78 2층 (신월동, 우성상가)",4,TRUE,TRUE,TRUE,TRUE,FALSE,08034,수도권,126.833571060858,37.5226595591182,11_470
서울삼성내과의원,내과의원,02-2060-0300,2060-0300,서울특별시,양천구,서울특별시 양천구 등촌로 32 목동 태영프라자 2층 205~207호 (목동),5,TRUE,TRUE,TRUE,TRUE,TRUE,07965,수도권,126.864166285292,37.5328851583631,11_470
서영탁내과의원,내과의원,02-6346-6163,02-6346-6163,서울특별시,양천구,"서울특별시 양천구 등촌로 188 지하1층 제B01호, 제1층 제101호 (목동) ",5,TRUE,TRUE,TRUE,TRUE,TRUE,07951,수도권,126.863053728176,37.5464047208659,11_470
"봄,그림내과의원",내과의원,02-2695-1517,02-2695-1517,서울특별시,양천구,"서울특별시 양천구 곰달래로 47 3층 (신월동, 백석빌딩) ",5,TRUE,TRUE,TRUE,TRUE,TRUE,07923,수도권,126.837979822093,37.530248154543,11_470
연세윤내과의원,내과의원,02-2604-7373,02-2604-7373,서울특별시,양천구,"서울특별시 양천구 신정중앙로 103 6층 (신정동, 담우빌딩)",5,TRUE,TRUE,TRUE,TRUE,TRUE,07938,수도권,126.863371926417,37.5265013713269,11_470
목동연세365의원,의원,02-2643-0365,02-2643-0365,서울특별시,양천구,"서울특별시 양천구 오목로 344 3층 (목동, 청학빌딩)",5,TRUE,TRUE,TRUE,TRUE,TRUE,08006,수도권,126.875143110053,37.5237531022074,11_470
유헬스내과의원,내과의원,02-6925-3655,02-6925-3655,서울특별시,양천구,"서울특별시 양천구 목동동로 293 5층 508호 (목동, 현대41타워)",5,TRUE,TRUE,TRUE,TRUE,TRUE,07997,수도권,126.875771989415,37.5281783139269,11_470
라온여성의원,의원,02-2061-3575,02-2061-3575,서울특별시,양천구,"서울특별시 양천구 목동동로 293 현대41타워 4층 409,410,411호 (목동) ",0,FALSE,FALSE,FALSE,FALSE,FALSE,07997,수도권,126.875771989415,37.5281783139269,11_470
독일의원,의원,02-2645-8700,02-2645-8700,서울특별시,양천구,서울특별시 양천구 공항대로 624 (목동),4,TRUE,TRUE,TRUE,TRUE,FALSE,07968,수도권,126.874114547813,37.5466539031566,11_470
연세최내과의원,내과의원,02-2646-3303,02-2646-3303,서울특별시,양천구,서울특별시 양천구 신월로 314 2층 (신정동),4,TRUE,TRUE,TRUE,TRUE,FALSE,08082,수도권,126.855865482165,37.521247537677,11_470
마이내과의원,내과의원,02-2651-8800,02-6215-8800,서울특별시,양천구,"서울특별시 양천구 목동중앙로 71 2층 (목동, 하이파킹빌딩)",5,TRUE,TRUE,TRUE,TRUE,TRUE,07961,수도권,126.870194217249,37.5360244453731,11_470
연세더블유산부인과의원,의원,02-2654-3500,02-2654-3500,서울특별시,양천구,"서울특별시 양천구 오목로 344 3층 (목동, 청학빌딩)",0,FALSE,FALSE,FALSE,FALSE,FALSE,08006,수도권,126.875143110053,37.5237531022074,11_470
더본내과의원,내과의원,02-2138-0660,02-2138-0660,서울특별시,양천구,"서울특별시 양천구 목동동로 73 3층 303호 (신정동, 양지빌딩ll)",2,TRUE,FALSE,TRUE,FALSE,FALSE,08093,수도권,126.862808387683,37.5157733856226,11_470
연세위드유외과의원,의원,02-2642-6075,02-2642-6075,서울특별시,양천구,"서울특별시 양천구 오목로 300 현대하이페리온2 206동 3층 304호 일부, 305호, 306호, 307호, 308호 (목동, 현대하이페리온2) ",1,FALSE,FALSE,FALSE,FALSE,TRUE,08004,수도권,126.87002254331,37.5248304019543,11_470
우디여성의원,의원,02-2135-1508,02-2135-1508,서울특별시,양천구,서울특별시 양천구 공항대로 566 클래리티 타워 3층 (목동),0,FALSE,FALSE,FALSE,FALSE,FALSE,07947,수도권,126.868067060108,37.5489605239168,11_470
인터메드내과의원,내과의원,02-2643-2323,02-2643-2323,서울특별시,양천구,서울특별시 양천구 목동동로 150 목동 블루스퀘어 3층 301~303호 (신정동),4,TRUE,TRUE,TRUE,TRUE,FALSE,08014,수도권,126.870471203827,37.5189418545223,11_470
서울드림내과의원,내과의원,02-2601-8275,02-2601-8275,서울특별시,양천구,서울특별시 양천구 신월로 177 도이치빌딩 2층 (신월동),5,TRUE,TRUE,TRUE,TRUE,TRUE,08030,수도권,126.84279377753,37.5190624203995,11_470
삼성탑가정의학과의원,의원,02-753-8579,02-753-8579,서울특별시,양천구,서울특별시 양천구 목동동로8길 23 메리트윈 3층 301호 (신정동),4,TRUE,TRUE,TRUE,TRUE,FALSE,08017,수도권,126.871486510512,37.5168554302245,11_470
서울미라클의원,의원,02-6952-7503,02-6952-7503,서울특별시,양천구,"서울특별시 양천구 중앙로 232 2,3,4층 (신정동) ",0,FALSE,FALSE,FALSE,FALSE,FALSE,08091,수도권,126.854440172812,37.5173342679085,11_470
목동플러스내과의원,내과의원,02-2603-7577,02-2603-7577,서울특별시,양천구,서울특별시 양천구 중앙로 291 4층 (신월동),5,TRUE,TRUE,TRUE,TRUE,TRUE,08028,수도권,126.851641103963,37.5221443000442,11_470
목동더나은내과의원,내과의원,02-2062-7555,02-2062-7555,서울특별시,양천구,"서울특별시 양천구 목동서로 383 4층 401, 402호 (신정동) ",5,TRUE,TRUE,TRUE,TRUE,TRUE,08093,수도권,126.861530100802,37.5158920877714,11_470
목동서울청내과의원,내과의원,02-2607-2607,02-2607-2607,서울특별시,양천구,서울특별시 양천구 목동로 203 4층 401호 (신정동) ,5,TRUE,TRUE,TRUE,TRUE,TRUE,07938,수도권,126.86380676331,37.5267062206829,11_470
서울메디탑내과의원,내과의원,02-2603-7582,02-2603-7582,서울특별시,양천구,"서울특별시 양천구 오목로 147 3층 (신정동, 제이클래스목동주상복합) ",5,TRUE,TRUE,TRUE,TRUE,TRUE,07943,수도권,126.853714930254,37.5250701869996,11_470
목동삼성탑내과의원,내과의원,02-6958-5360,02-6958-5360,서울특별시,양천구,"서울특별시 양천구 목동로 210 타운빌딩 6층 601,602호 (목동) ",5,TRUE,TRUE,TRUE,TRUE,TRUE,07993,수도권,126.864447323512,37.5273834294204,11_470
양천에이스내과의원,내과의원,02-6958-7373,02-6958-7373,서울특별시,양천구,서울특별시 양천구 신월로 327 5층 (신정동) ,4,TRUE,TRUE,TRUE,TRUE,FALSE,08027,수도권,126.857430146443,37.5218596854711,11_470
목동깨비365의원,의원,02-2138-0031,02-2138-0031,서울특별시,양천구,서울특별시 양천구 목동중앙북로4길 6 1층 (목동) ,5,TRUE,TRUE,TRUE,TRUE,TRUE,07950,수도권,126.864284430668,37.5484138360947,11_470
프라임영상의학과의원,의원,02-2651-0382,02-2651-0382,서울특별시,양천구,"서울특별시 양천구 등촌로 12 2,3층 (목동) ",2,TRUE,FALSE,TRUE,FALSE,FALSE,07966,수도권,126.864159968625,37.5311279296827,11_470
목동제일내과의원,내과의원,02-2643-9888,2643-9888,서울특별시,양천구,서울특별시 양천구 신목로 86 7층 (신정동) ,5,TRUE,TRUE,TRUE,TRUE,TRUE,08009,수도권,126.874766090418,37.5223155146806,11_470
서울내몸케어내과의원,내과의원,02-2607-7582,02-2607-7582,서울특별시,양천구,서울특별시 양천구 남부순환로 352 2층 (신월동) ,5,TRUE,TRUE,TRUE,TRUE,TRUE,07910,수도권,126.827915323456,37.5355644146707,11_470
최은지산부인과의원,의원,02-2606-2434,02-2606-2434,서울특별시,양천구,서울특별시 양천구 오목로 226 3층 (신정동) ,1,FALSE,FALSE,FALSE,FALSE,TRUE,08022,수도권,126.862667345463,37.5257046995427,11_470
주내과의원,내과의원,02-6953-8311,02-6953-8311,서울특별시,양천구,서울특별시 양천구 신목로 88 3·4(일부)층 (신정동) ,1,TRUE,FALSE,FALSE,FALSE,FALSE,08009,수도권,126.875029234072,37.5223719258406,11_470
삼성나음여성의원,의원,02-2647-7582,02-2647-7582,서울특별시,양천구,서울특별시 양천구 오목로 350 썬택씨티빌딩 2층 (목동) ,0,FALSE,FALSE,FALSE,FALSE,FALSE,08007,수도권,126.87627211214,37.5241576688964,11_470
미즈메디병원,종합병원,-1588-2701,02-2007-1000,서울특별시,강서구,서울특별시 강서구 강서로 295 (내발산동),5,TRUE,TRUE,TRUE,TRUE,TRUE,07639,수도권,126.835857296727,37.5521827438563,11_500
부민병원,종합병원,-1577-7582,1577-7582,서울특별시,강서구,서울특별시 강서구 공항대로 389 부민병원 (등촌동),5,TRUE,TRUE,TRUE,TRUE,TRUE,07590,수도권,126.850904790759,37.5568628399174,11_500
이화여자대학교의과대학부속서울병원,종합병원,-1522-7000,1522-7000,서울특별시,강서구,서울특별시 강서구 공항대로 260 이화의대부속서울병원 (마곡동) ,4,FALSE,TRUE,TRUE,TRUE,TRUE,07804,수도권,126.836266829117,37.5572628621214,11_500
유광사여성병원,병원,02-2608-1011,02-2608-1011,서울특별시,강서구,서울특별시 강서구 강서로 194 (화곡동),2,TRUE,FALSE,FALSE,FALSE,TRUE,07698,수도권,126.838880973474,37.5435916590617,11_500
웰튼병원,병원,02-2690-2000,02-2690-2000,서울특별시,강서구,"서울특별시 강서구 마곡중앙5로 22 지하1,2층 4,11,12층호 (마곡동) ",5,TRUE,TRUE,TRUE,TRUE,TRUE,07788,수도권,126.825303015866,37.5672498211268,11_500
강서송도병원,병원,02-2660-3900,02-2659-0600,서울특별시,강서구,"서울특별시 강서구 공항대로 315 (등촌동, 서울시니어강서타워)",5,TRUE,TRUE,TRUE,TRUE,TRUE,07591,수도권,126.842791205411,37.5584986162827,11_500
서울스타병원,병원,02-2604-9300,02-2604-9300,서울특별시,강서구,"서울특별시 강서구 강서로 307 서울스타병원빌딩 3,4,5,6,7,층 8,9호 (내발산동)",4,TRUE,TRUE,TRUE,TRUE,FALSE,07632,수도권,126.836227554297,37.5532303968282,11_500
강서힘찬병원,병원,-1899-2228,02-1899-2228,서울특별시,강서구,서울특별시 강서구 강서로56길 38 강서힘찬병원 (등촌동) ,3,TRUE,TRUE,TRUE,FALSE,FALSE,07591,수도권,126.840668886961,37.5591929622171,11_500
서울고든병원,병원,-1670-0124,1670-0124,서울특별시,강서구,"서울특별시 강서구 양천로 600 파인블루빌딩 지하1,2,7,8,층 9,10호 (등촌동)",4,TRUE,TRUE,TRUE,TRUE,FALSE,07552,수도권,126.864673727749,37.5554767520191,11_500
서울원병원,병원,070-4394-3353,1544-5888,서울특별시,강서구,서울특별시 강서구 강서로 179 6~10층 (화곡동),5,TRUE,TRUE,TRUE,TRUE,TRUE,07714,수도권,126.839322200876,37.5423627575293,11_500
서울필병원,병원,02-1600-8205,02-1600-8205,서울특별시,강서구,서울특별시 강서구 강서로 357 (내발산동) ,4,TRUE,TRUE,TRUE,TRUE,FALSE,07632,수도권,126.837387751506,37.5576668863222,11_500
김양일내과의원,내과의원,02-2664-5767,02-2664-5767,서울특별시,강서구,서울특별시 강서구 방화동로 60 1층 (방화동),3,TRUE,TRUE,TRUE,FALSE,FALSE,07616,수도권,126.812573830849,37.5657818599474,11_500
한국건강관리협회건강증진의원,의원,02-2600-2000,02-2600-2000,서울특별시,강서구,서울특별시 강서구 화곡로 335 한국건강관리협회서울서부지부 (화곡동),5,TRUE,TRUE,TRUE,TRUE,TRUE,07649,수도권,126.850808526825,37.5538866355799,11_500
전용택내과의원,내과의원,02-2664-1110,02-2664-1110,서울특별시,강서구,서울특별시 강서구 금낭화로 91-2 대승프라자 501호 (방화동),3,TRUE,TRUE,TRUE,FALSE,FALSE,07516,수도권,126.811081371114,37.5736503862521,11_500
연세내과의원,내과의원,02-2692-7825,02-2692-7825,서울특별시,강서구,서울특별시 강서구 강서로 261 (내발산동),3,TRUE,TRUE,TRUE,FALSE,FALSE,07639,수도권,126.835954853373,37.5491854412348,11_500
정기수내과의원,내과의원,02-2602-7595,02-2602-7595,서울특별시,강서구,서울특별시 강서구 화곡로 173 (화곡동),3,TRUE,TRUE,TRUE,FALSE,FALSE,07702,수도권,126.840750757758,37.5420461896332,11_500
제이산부인과의원,의원,02-2665-8500,02-2665-8500,서울특별시,강서구,서울특별시 강서구 공항대로 36 2층 (공항동) ,0,FALSE,FALSE,FALSE,FALSE,FALSE,07623,수도권,126.811128792613,37.5610122114621,11_500
한순심산부인과의원,의원,02-2603-1100,02-2603-1100,서울특별시,강서구,"서울특별시 강서구 강서로 242 2층 205호 (화곡동, 강서힐스테이트)",0,FALSE,FALSE,FALSE,FALSE,FALSE,07694,수도권,126.836797010994,37.5471644988463,11_500
명진단영상의학과의원,의원,02-2694-4242,02-2694-4242,서울특별시,강서구,"서울특별시 강서구 공항대로 396 (주)귀뚜라미보일러사옥빌딩 4,5층 (화곡동)",5,TRUE,TRUE,TRUE,TRUE,TRUE,07649,수도권,126.851115006384,37.5558143450012,11_500
세연투섬내과의원,내과의원,02-3661-3714,02-3661-3714,서울특별시,강서구,"서울특별시 강서구 양천로 500 205~207호 (등촌동, 노블리움)",3,TRUE,TRUE,TRUE,FALSE,FALSE,07548,수도권,126.855531211014,37.5605371784027,11_500
이미영산부인과의원,의원,02-2664-7285,02-2664-7285,서울특별시,강서구,"서울특별시 강서구 등촌로 163 상가동 204, 206, 207호 (등촌동, 등촌동아이파크) ",0,FALSE,FALSE,FALSE,FALSE,FALSE,07671,수도권,126.861593331753,37.5447297738682,11_500
남장현산부인과의원,의원,02-2695-1001,02-2695-1001,서울특별시,강서구,"서울특별시 강서구 방화대로44길 55 202,302호 (방화동) ",0,FALSE,FALSE,FALSE,FALSE,FALSE,07592,수도권,126.818531073976,37.571006934014,11_500
최경희산부인과의원,의원,02-2664-3396,02-2664-3396,서울특별시,강서구,"서울특별시 강서구 마곡중앙로 59-21 에이스타워2 4층 404,405,406호 (마곡동)",0,FALSE,FALSE,FALSE,FALSE,FALSE,07807,수도권,126.824241089722,37.5588046568145,11_500
천내과의원,내과의원,02-2659-6546,02-2659-6546,서울특별시,강서구,"서울특별시 강서구 양천로57길 13 303호 (가양동, 씨드빌딩)",5,TRUE,TRUE,TRUE,TRUE,TRUE,07527,수도권,126.852023677534,37.5635982025081,11_500
서울산부인과의원,의원,02-2665-6782,02-2665-6782,서울특별시,강서구,서울특별시 강서구 금낭화로 91-2 (방화동),0,FALSE,FALSE,FALSE,FALSE,FALSE,07516,수도권,126.811081371114,37.5736503862521,11_500
강서성모내과의원,내과의원,02-3662-7585,02-3662-7585,서울특별시,강서구,"서울특별시 강서구 양천로 658 302호 (염창동, 양화진빌딩)",4,TRUE,TRUE,TRUE,TRUE,FALSE,07554,수도권,126.86991587864,37.5523079799238,11_500
햇살가득한가정의학과의원,의원,02-2062-1600,02-2062-1600,서울특별시,강서구,서울특별시 강서구 등촌로 59-1 2층 (화곡동),0,FALSE,FALSE,FALSE,FALSE,FALSE,07741,수도권,126.863179446271,37.5353838443451,11_500
현대항분하지외과의원,의원,02-2698-5021,02-2698-5021,서울특별시,강서구,"서울특별시 강서구 화곡로 166 화수빌딩 5,6층 (화곡동)",4,TRUE,TRUE,TRUE,TRUE,FALSE,07715,수도권,126.840078179014,37.5413033081483,11_500
김정백내과의원,내과의원,02-2663-4001,02-2663-4001,서울특별시,강서구,"서울특별시 강서구 금낭화로 135 금강프라자빌딩 401~3, 502호 (방화동) ",5,TRUE,TRUE,TRUE,TRUE,TRUE,07510,수도권,126.812438073591,37.5774450106613,11_500
신민호내과의원,내과의원,02-3663-7533,02-3663-7533,서울특별시,강서구,"서울특별시 강서구 양천로 684 3층 (염창동, 부성빌딩)",3,TRUE,TRUE,TRUE,FALSE,FALSE,07555,수도권,126.871949201268,37.5506405637499,11_500
연세의원,의원,02-2601-3433,02-2601-3433,서울특별시,강서구,"서울특별시 강서구 화곡로 197 1,2층 (화곡동)",0,FALSE,FALSE,FALSE,FALSE,FALSE,07700,수도권,126.842690208306,37.5433885742887,11_500
연세하나내과소아청소년과의원,내과의원,02-2661-6480,02-2661-6480,서울특별시,강서구,서울특별시 강서구 방화동로 37 (방화동),5,TRUE,TRUE,TRUE,TRUE,TRUE,07620,수도권,126.810682079138,37.5641822785808,11_500
준가정의학과의원,의원,02-2655-0075,02-2655-0075,서울특별시,강서구,서울특별시 강서구 등촌로 147 (등촌동),0,FALSE,FALSE,FALSE,FALSE,FALSE,07671,수도권,126.862405130693,37.5428771879604,11_500
서울하내과의원,내과의원,02-2690-1119,02-2690-1119,서울특별시,강서구,"서울특별시 강서구 강서로 254 303호 (화곡동, 우장산e-편한세상상가)",5,TRUE,TRUE,TRUE,TRUE,TRUE,07691,수도권,126.836714122498,37.5484347011443,11_500
우충아의원,의원,02-3663-7708,02-3663-7708,서울특별시,강서구,"서울특별시 강서구 양천로57길 37 201, 203호 (가양동, 가양4단지아파트) ",4,TRUE,TRUE,TRUE,TRUE,FALSE,07527,수도권,126.852069204251,37.5659318377534,11_500
유진의원,의원,02-3665-0024,02-3665-0024,서울특별시,강서구,서울특별시 강서구 양천로 677 (염창동),3,TRUE,FALSE,TRUE,FALSE,TRUE,07542,수도권,126.871952248872,37.5513728079184,11_500
현내과의원,내과의원,02-2697-8558,02-2697-8558,서울특별시,강서구,서울특별시 강서구 가로공원로76길 102 1층 (화곡동),3,TRUE,TRUE,TRUE,FALSE,FALSE,07766,수도권,126.838930182148,37.5326567473518,11_500
미래아이산부인과의원,의원,02-3665-2002,02-3665-2002,서울특별시,강서구,"서울특별시 강서구 양천로 556 1-7층 (등촌동, 강서메디칼센터)",5,TRUE,TRUE,TRUE,TRUE,TRUE,07550,수도권,126.860728364155,37.5578028626502,11_500
미산부인과의원,의원,02-2659-7777,02-2659-7777,서울특별시,강서구,서울특별시 강서구 양천로 460 (등촌동),0,FALSE,FALSE,FALSE,FALSE,FALSE,07575,수도권,126.851699824488,37.5625850769996,11_500
수내과의원,내과의원,02-2645-8191,02-2645-8191,서울특별시,강서구,서울특별시 강서구 등촌로5길 5 2층 (화곡동),2,TRUE,FALSE,TRUE,FALSE,FALSE,07741,수도권,126.863270906722,37.5332543461781,11_500
권내과의원,내과의원,02-2695-2988,02-2695-2988,서울특별시,강서구,서울특별시 강서구 강서로 56 4층 (화곡동),4,TRUE,TRUE,TRUE,TRUE,FALSE,07756,수도권,126.846398118766,37.5327749968198,11_500
예나산부인과의원,의원,02-3663-4774,02-3663-4774,서울특별시,강서구,서울특별시 강서구 양천로57길 16 영보빌딩 6층 603호 (가양동) ,0,FALSE,FALSE,FALSE,FALSE,FALSE,07526,수도권,126.852504476699,37.5633752671263,11_500
예일내과의원,내과의원,02-2604-1007,02-2604-1007,서울특별시,강서구,서울특별시 강서구 가로공원로76길 73 2층 (화곡동),4,TRUE,TRUE,TRUE,TRUE,FALSE,07767,수도권,126.83855303361,37.5339952987106,11_500
속시원한내과의원,내과의원,02-2608-2772,02-2608-2772,서울특별시,강서구,"서울특별시 강서구 강서로 43-17 501호 (화곡동, 오거닉스타워)",4,TRUE,TRUE,TRUE,TRUE,FALSE,07774,수도권,126.846691735763,37.5311063652026,11_500
서울내과의원,내과의원,02-2664-5555,02-2664-5555,서울특별시,강서구,서울특별시 강서구 양천로 73 2층 201호 (방화동),3,TRUE,TRUE,TRUE,FALSE,FALSE,07517,수도권,126.811826043779,37.5737251867757,11_500
서울삼성내과의원,내과의원,02-3663-1177,02-3663-1177,서울특별시,강서구,"서울특별시 강서구 양천로 713 2층 (염창동, 대영빌딩)",3,TRUE,TRUE,TRUE,FALSE,FALSE,07540,수도권,126.875250908344,37.5498405882542,11_500
새본내과의원,내과의원,02-2649-0875,02-2649-0875,서울특별시,강서구,"서울특별시 강서구 등촌로 183 2층 (등촌동, 세스빌딩)",4,TRUE,TRUE,TRUE,TRUE,FALSE,07668,수도권,126.862263586062,37.5462537856239,11_500
더베스트내과의원,내과의원,02-2658-0988,02-2658-0988,서울특별시,강서구,서울특별시 강서구 강서로 460 평안빌딩 301~302호 (등촌동) ,5,TRUE,TRUE,TRUE,TRUE,TRUE,07582,수도권,126.841106001932,37.5663257425795,11_500
중앙내과의원,내과의원,02-2666-7576,02-2666-7576,서울특별시,강서구,서울특별시 강서구 방화동로 102 102호 (방화동),0,FALSE,FALSE,FALSE,FALSE,FALSE,07606,수도권,126.812998823052,37.5694621054707,11_500
서울진내과의원,내과의원,02-2607-8875,02-2607-8875,서울특별시,강서구,"서울특별시 강서구 강서로 242 강서힐스테이트 단지내상가 302,303호 (화곡동)",4,TRUE,TRUE,TRUE,TRUE,FALSE,07694,수도권,126.836797010994,37.5471644988463,11_500
(의)열린의료재단 예인의원,의원,02-3661-7582,02-3661-7582,서울특별시,강서구,"서울특별시 강서구 양천로 366 5,6층 (가양동, 미라클빌딩)",3,TRUE,TRUE,TRUE,FALSE,FALSE,07573,수도권,126.842911175186,37.5672306850318,11_500
우리가정의원,의원,02-2662-7078,02-2662-7078,서울특별시,강서구,서울특별시 강서구 남부순환로11가길 104 2층 (공항동),0,FALSE,FALSE,FALSE,FALSE,FALSE,07625,수도권,126.813516560468,37.5582066121367,11_500
서울가정의학과의원,의원,02-2694-7500,02-2694-7500,서울특별시,강서구,서울특별시 강서구 가로공원로76길 56 2층 (화곡동),2,TRUE,FALSE,TRUE,FALSE,FALSE,07761,수도권,126.837818487511,37.5345343516043,11_500
연세태산내과의원,내과의원,02-2667-8275,02-2667-8275,서울특별시,강서구,"서울특별시 강서구 수명로 68-11 3층 301~303호 (내발산동, 발산타워)",3,TRUE,TRUE,TRUE,FALSE,FALSE,07635,수도권,126.826550185758,37.5522964793753,11_500
연세메디의원,의원,02-6116-5850,02-6116-5850,서울특별시,강서구,"서울특별시 강서구 하늘길 38 김포공항, 롯데몰, 스카이시티 GF층 (방화동)",0,FALSE,FALSE,FALSE,FALSE,FALSE,07505,수도권,126.802960133589,37.5713695798026,11_500
강상용내과의원,내과의원,02-2602-5575,02-2602-5575,서울특별시,강서구,서울특별시 강서구 강서로 52 화곡판타지아 2층 201~203호 (화곡동) ,5,TRUE,TRUE,TRUE,TRUE,TRUE,07757,수도권,126.846690598628,37.5324910211764,11_500
행복숲가정의학과의원,의원,02-2659-6117,02-2659-6117,서울특별시,강서구,"서울특별시 강서구 마곡중앙로 161-17 보타닉파크타워Ⅰ 310,311호 (마곡동) ",3,TRUE,FALSE,TRUE,TRUE,FALSE,07788,수도권,126.825960812712,37.5680581740122,11_500
박기호내과의원,내과의원,02-2662-4778,02-2662-4778,서울특별시,강서구,"서울특별시 강서구 강서로 267 3층 G030호 (내발산동, 송화쇼핑센터)",4,TRUE,TRUE,TRUE,TRUE,FALSE,07639,수도권,126.835941270275,37.5496000614643,11_500
김현영산부인과의원,의원,02-2699-5225,02-2699-5225,서울특별시,강서구,"서울특별시 강서구 강서로 43 402,403호 (화곡동, 도양라비앙타워)",0,FALSE,FALSE,FALSE,FALSE,FALSE,07774,수도권,126.846531702129,37.5315215185769,11_500
연세가족의원,의원,02-3665-1977,02-3665-1977,서울특별시,강서구,"서울특별시 강서구 양천로59길 46 106호 (가양동, 대일빌딩)",0,FALSE,FALSE,FALSE,FALSE,FALSE,07532,수도권,126.860025023147,37.561041563254,11_500
안강현내과의원,내과의원,02-3662-7578,02-3662-7578,서울특별시,강서구,"서울특별시 강서구 공항대로41길 75 3층 301호 (등촌동, 경원프라자)",3,TRUE,TRUE,TRUE,FALSE,FALSE,07586,수도권,126.846360147398,37.5611486390411,11_500
애플산부인과의원,의원,02-3664-7760,02-3664-7760,서울특별시,강서구,서울특별시 강서구 마곡중앙6로 69 6층 (마곡동),0,FALSE,FALSE,FALSE,FALSE,FALSE,07803,수도권,126.835089020911,37.5603375842313,11_500
강서연세내과의원,내과의원,02-2662-7582,02-2662-7582,서울특별시,강서구,"서울특별시 강서구 양천로 72 403호, 404호 (방화동, 해성빌딩)",5,TRUE,TRUE,TRUE,TRUE,TRUE,07604,수도권,126.811777075121,37.5732116324409,11_500
송정가정의학과의원,의원,02-2664-7580,02-2664-7580,서울특별시,강서구,서울특별시 강서구 공항대로 34 2층 (공항동),1,TRUE,FALSE,FALSE,FALSE,FALSE,07623,수도권,126.810958242039,37.5610066226343,11_500
제일가정의학과의원,의원,02-2645-1212,02-2645-1212,서울특별시,강서구,서울특별시 강서구 가로공원로76길 94 2층 (화곡동),4,TRUE,TRUE,TRUE,TRUE,FALSE,07766,수도권,126.838700603144,37.5330339530834,11_500
메디휴제일내과의원,내과의원,02-2065-1566,02-2065-1566,서울특별시,강서구,서울특별시 강서구 화곡로 206 2층 (화곡동),5,TRUE,TRUE,TRUE,TRUE,TRUE,07721,수도권,126.843620476759,37.5437035376111,11_500
삼성서울의원,의원,02-2666-1888,02-2666-1888,서울특별시,강서구,"서울특별시 강서구 강서로45길 174 3층 (내발산동, SM타워)",3,TRUE,TRUE,TRUE,FALSE,FALSE,07638,수도권,126.830611291758,37.552871895432,11_500
마음속내과의원,내과의원,02-2662-1222,02-2662-1222,서울특별시,강서구,"서울특별시 강서구 마곡중앙5로 81 에스비타운 4층 404,405,407호 (마곡동)",5,TRUE,TRUE,TRUE,TRUE,TRUE,07599,수도권,126.818597219555,37.5671170824829,11_500
고운여성산부인과의원,의원,02-2661-3009,02-2661-3009,서울특별시,강서구,"서울특별시 강서구 마곡중앙5로 81 502.503호 (마곡동, 에스비타운)",0,FALSE,FALSE,FALSE,FALSE,FALSE,07599,수도권,126.818597219555,37.5671170824829,11_500
까치산내과의원,내과의원,02-2065-9988,02-2065-9988,서울특별시,강서구,서울특별시 강서구 강서로13길 3 5층 (화곡동),5,TRUE,TRUE,TRUE,TRUE,TRUE,07774,수도권,126.846047920456,37.5322957492562,11_500
다나가정의원,의원,02-2601-1953,02-2601-1953,서울특별시,강서구,"서울특별시 강서구 화곡로 196 (화곡동, 평화약국)",0,FALSE,FALSE,FALSE,FALSE,FALSE,07721,수도권,126.843002615908,37.5430172380173,11_500
